LINE	NUM	ROOM	CHAR	Acte	TEXT_FR	TEXT_EN	Commentaires / Intégration métadonnées
A01N00_Abi_HAL_00360	00360	HALL	Abigail 	A01N00	 Si vous voulez bien me suivre au salon, tout le monde y est déjà réuni.	If you’d care to follow me to the sitting room, everyone is already there.	Done
A01N00_NAR_HAL_00370	00370	HALL	NARRATEUR 	A01N00	 J’entends des éclats de voix dans la pièce d’à côté…	I can hear voices from the room next door…	Done
A01N00_NAR_HAL_00380	00380	HALL	NARRATEUR 	A01N00	 « Tu n’as rien à faire ici ! » « C’est une honte, de s’incrus… …lors que la famille est… » « Oh, toi aussi, tu… » « Mais je vous connais ! Elle, elle… » « J-je suis dé… J-je peux partir… » « On t’a rien demandé ! » « …déranger… »	“You shouldn’t be here!” “It’s outrageous, to overst… while the family is…” “Oh, you are also…” “But I know you! She…” “I-I’m so-sorry… I-I can leave, you know, I…” “We didn’t ask you!” “…intrude…”	Done
A01N00_NAR_HAL_00390	00390	HALL	NARRATEUR 	A01N00	 Abigail fronce les sourcils, elle n’a pas l’air heureuse de ce qu’elle entend…	Abigail frowns, apparently unhappy about what she hears.	Done
A01N00_Abi_HAL_00400	00400	HALL	Abigail 	A01N00	 Geoffroy.	Geoffroy.	Done
A01N00_NAR_HAL_00410	00410	HALL	NARRATEUR 	A01N00	 Elle parle plus fort que nécessaire, et le silence se fait instantanément.	She speaks louder than necessary, and silence falls instantly.	Done
A01N00_Geo_HAL_00420	00420	HALL	Geoffroy 	A01N00	 A votre service.	At your service.	Done
A01N00_NAR_HAL_00430	00430	HALL	NARRATEUR 	A01N00	 Geoffroy tourne bruyamment la poignée, se racle la gorge, ouvre la porte, et nous laisse entrer.	Geoffroy loudly turns the handle, clears his throat, opens the door, and invites us in.	Done
A01N00_NAR_LIV_00440	00440	LIVINGROOM	NARRATEUR 	A01N00	 Je découvre alors l’immense salon…	I then discover the huge sitting room…	Done
A01N00_NAR_LIV_00450	00450	LIVINGROOM	NARRATEUR 	A01N00	 Ils sont trois, à l’intérieur, rejoints par ceux qui m’ont accueilli◘e||•e◘. Ils semblent tous reprendre leurs moyens.	They are three inside, joined by those who welcomed me. They all seem to be pulling themselves together.	Done
A01N00_NAR_LIV_00451	00450	LIVINGROOM	NARRATEUR 	A01N00	La fille a le visage rouge, l’air gêné.	The woman’s face is red and she seems awkward.	Done
A01N00_NAR_LIV_00452	00450	LIVINGROOM	NARRATEUR 	A01N00	Le plus jeune sourit déjà, comme si de rien n’était, et le plus grand, même s’il a lui aussi reprit ses moyens, a encore les poings serrés par l’agacement.	 The youngest man is already smiling as if nothing happened, and the tallest one, even though he already bounced back, is still clenching his fists.	Done
A01N00_NAR_LIV_00453	00450	LIVINGROOM	NARRATEUR 	A01N00	Il se détend progressivement.	He slowly calms himself.	Done
A01N00_Abi_LIV_00460	00460	LIVINGROOM	Abigail 	A01N00	 Vous avez déjà rencontré notre majordome, Geoffroy.	You already met our butler, Geoffroy.	Done
A01N00_Abi_LIV_00461	00460	LIVINGROOM	Abigail 	A01N00	Vous reconnaissez peut-être mon frère Hippolyte et notre ami d’enfance Ernest Briant, revenu parmi nous depuis peu, lui aussi. 	You might recognize my brother Hippolyte and our common childhood friend Ernest Briant, who also came back among us a short while ago.	Done
A01N00_Abi_LIV_00470	00470	LIVINGROOM	Abigail 	A01N00	 …	…	Done
A01N00_Abi_LIV_00480	00480	LIVINGROOM	Abigail 	A01N00	 Et là-bas, Madame Ophélie Beaumont.	And over there is Mrs. Ophélie Beaumont.	Done
A01N00_NAR_LIV_00490	00490	LIVINGROOM	NARRATEUR 	A01N00	 Son ton est froid. Neutre et poli, certes, mais après la présentation plus relâchée d’Hippolyte et d’Ernest, je sens comme une tension…	Her tone is cold. She stays neutral and polite, sure, but after the relaxed presentation of Hippolyte and Ernest, I can feel tension in the air…	Done
A01N00_Tou_LIV_00500	00500	LIVINGROOM	Tous 	A01N00	 Enchantés !	Delighted!	Done
A01N00_Abi_LIV_00510	00510	LIVINGROOM	Abigail 	A01N00	 Asseyez-vous, je vous prie. Geoffroy ?	Please sit down. Geoffroy?	Done
A01N00_Geo_LIV_00520	00520	LIVINGROOM	Geoffroy 	A01N00	 Puis-je vous apporter quelque chose à boire, ◘Mme|M.|Mx◘ Luong ?	May I offer you something to drink, ◘Mrs.|Mr.|Mx.◘  Luong?	Done
A01N00_Kim_LIV_00530	00530	LIVINGROOM	Kim 	A01N00	 Un thé, s’il vous plait.	A tea, please.	Done
A01N00_Kim_LIV_00540	00540	LIVINGROOM	Kim 	A01N00	 Un café.	A coffee.	Done
A01N00_NAR_LIV_00550	00550	LIVINGROOM	NARRATEUR 	A01N00	 Abigail vient de froncer les sourcils…	Abigail frowns…	Done
A01N00_Kim_LIV_00560	00560	LIVINGROOM	Kim 	A01N00	 Rien, merci.	Nothing, thanks.	Done
A01N00_Kim_LIV_00570	00570	LIVINGROOM	Kim 	A01N00	 Hausser les épaules silencieusement.	Shrug silently	Done
A01N00_NAR_LIV_00580	00580	LIVINGROOM	NARRATEUR 	A01N00	 Je me contente de hausser les épaules silencieusement.	I shrug silently, unsure.	Done
A01N00_NAR_LIV_00590	00590	LIVINGROOM	NARRATEUR 	A01N00	 Abigail vient de froncer les sourcils…	Abigail frowns…	Done
A01N00_Geo_LIV_00600	00600	LIVINGROOM	Geoffroy 	A01N00	 A votre service.	At your service.	Done
A01N00_Abi_LIV_00610	00610	LIVINGROOM	Abigail 	A01N00	 Bien. Pardonnez-moi de passer immédiatement aux choses sérieuses.	Good. Please forgive me for getting immediately to the matter at hand.	Done
A01N00_Abi_LIV_00611	00610	LIVINGROOM	Abigail 	A01N00	Je dois d’abord vous remercier de vous être déplacé◘e||•e◘ si vite suite à notre demande.	First I must thank you for coming here at such short notice to our demand.	Done
A01N00_Abi_LIV_00612	00610	LIVINGROOM	Abigail 	A01N00	Comme nous vous l’avons fait savoir, les funérailles de notre mère Célestia Castheran ont eu lieu jeudi dernier.	As we told you, our mother Céleste Castheran’s funerals took place this Thursday.	Done
A01N00_Kim_LIV_00620	00620	LIVINGROOM	Kim 	A01N00	 Je m’excuse encore de ne pas avoir pu m’y rendre. Je me suis libéré◘e||•e◘  dès que possible.	My condolences to both of you.	Done
A01N00_Kim_LIV_00621	00620	LIVINGROOM	Kim 	A01N00	Mes condoléances à vous deux.	My condolences to both of you.	Done
A01N00_Hip_LIV_00630	00630	LIVINGROOM	Hippolyte 	A01N00	 Merci, Kim.	Thanks, Kim.	Done
A01N00_NAR_LIV_00640	00640	LIVINGROOM	NARRATEUR 	A01N00	 Hippolyte a l’air plus heureux qu’elle de me retrouver.	Hippolyte seems happier than her to see me again.	Done
A01N00_NAR_LIV_00650	00650	LIVINGROOM	NARRATEUR 	A01N00	 Hippolyte hoche la tête. Il a l’air sur ses gardes.	Hippolyte nods warily.	Done
A01N00_Abi_LIV_00660	00660	LIVINGROOM	Abigail 	A01N00	 Vous avez gracieusement accepté de venir jusqu’ici pour honorer la dernière volonté de notre mère, malgré son étrangeté.	You graciously accepted to come here to honor her last will, despite its strangeness.	Done
A01N00_Abi_LIV_00670	00670	LIVINGROOM	Abigail 	A01N00	 Nous vous en sommes reconnaissants.	We are very grateful for that.	Done
A01N00_Abi_LIV_00680	00680	LIVINGROOM	Abigail 	A01N00	 Je vous invite à lire la lettre qu’elle vous a laissée, elle sera plus détaillée que le mail que nous vous avons envoyé.	I invite you to read the letter she left for you. It will be more detailed than the mail we sent you.	Done
A01N00_Abi_LIV_00681	00680	LIVINGROOM	Abigail 	A01N00	<b>Elle est posée sur la table, juste là</b>. Nous en avons reçu une semblable nous priant de vous assister au mieux.	<b>It’s just here, on the table</b>. We received a similar one telling us to help you to the best of our abilities.	Done
A01N00_Abi_LIV_00690	00690	LIVINGROOM	Abigail 	A01N00	 Je vous invite à lire la <b>lettre sur la table</b>, ◘Mme|M.|Mx◘ Luong. Nous vous attendons.	I invite you to read <b>the letter on the table</b>, ◘Mrs.|Mr.|Mx.◘ Luong. We are waiting for you.	EN CLIQUANT SUR D'AUTRES OBJETS DU DECOR QUE LA LETTRE
A01N00_NAR_LIV_00700	00700	LIVINGROOM	NARRATEUR_LETTRE 	A01N00	 Kim,	Kim, 	CLIC OBJET + Affichage de narration différent ? A INTEGRER
A01N00_NAR_LIV_00710	00710	LIVINGROOM	NARRATEUR_LETTRE 	A01N00	 J’espère que tu te portes bien. Si tu reçois cette lettre, c’est que j’ai fait le grand voyage. Inutile de verser des larmes, je suis en paix avec cette idée depuis bien longtemps. Mais je m’inquiète pour mes enfants… Te souviens-tu d’Hippolyte et d’Abigail ? Vous aimiez tant jouer à cache-cache dans le Manoir, quand vous étiez petits.	I hope you’re well. If you are reading this letter, it unfortunately means it is not the case for me. That said, I’m not worried about me but about my children… Do you remember Hippolyte and Abigail? You loved to run around in the hallways together, ten years from now!	Affichage de narration différent ? A INTEGRER
A01N00_NAR_LIV_00720	00720	LIVINGROOM	NARRATEUR_LETTRE 	A01N00	 Je ne peux qu’imaginer ta surprise à la lecture de la lettre d’une vieille amie de tes parents ; mais maintenant que j’ai passé la barrière, j’ai peur des chamailleries qui s’ensuivront au Manoir.	You might be surprised to receive a letter from an old friend of your parents: why wouldn’t I write to them? But it’s you I want to speak to. Legacies are never easy things. Now that I’m not attached to this realm anymore, I’m afraid of the squabbles there will be about the Manor.	Affichage de narration différent ? A INTEGRER
A01N00_NAR_LIV_00730	00730	LIVINGROOM	NARRATEUR_LETTRE 	A01N00	 Les héritages sont rarement choses faciles. La tradition veut qu’il n’ait qu’un seul propriétaire. Cela fait des siècles que nous avons réussi à éviter toute division. Je serai attristée que ce ne soit pas le cas cette fois-ci. Mais je me sens incapable de choisir à qui il reviendra. Comment peut-on demander à une mère de trancher entre ses enfants ?	The tradition is that it always had only one owner. We’ve succeeded in avoiding divisions for centuries. I’d be sad for it to change. Yet I feel unable to choose to whom it will go. How can anyone ask a mother to choose between her children?	Affichage de narration différent ? A INTEGRER
A01N00_NAR_LIV_00740	00740	LIVINGROOM	NARRATEUR_LETTRE 	A01N00	 Tes parents ont été mes meilleurs amis. J’ai toute confiance en eux, mais comme moi, ils sont loin des valeurs de votre génération… Les écarts entre parents et enfants amènent parfois de si grandes incompréhensions ! C’est pour ça que je t’écris aujourd’hui. Je te sais neutre, loyal◘e||•e◘, intègre, aussi bien éduqué◘e||•e◘ que si tu avais été mon enfant. Je te connais depuis ta naissance. Qui mieux que toi pour prendre la meilleure décision possible ?	Your parents were my best friends. I trust them so much. However, they are far from the values of your generation, as I am… Gasps between parents and children can lead to such big misunderstandings! That’s why I’m writing to you today. I know you as objective, loyal, upstanding, as well raised as if you’d been my own child. I’ve known you since your birth. Who could take a better decision than you?	Affichage de narration différent ? A INTEGRER
A01N00_NAR_LIV_00750	00750	LIVINGROOM	NARRATEUR_LETTRE 	A01N00	 Ma dernière demande envers toi est donc, si tu l’acceptes, de bien vouloir <b>décider à qui reviendra le Manoir. Je souhaite que ton choix soit justifié</b>, et que tu puisses expliquer pourquoi c’est cette personne qui le mérite le plus.	Ma last will towards you is therefore, if you accept it, to please <b>choose who will own the Manor. I want your choice to be based on reason: you’ll have to explain why it is this person that deserves it best</b>.	Affichage de narration différent ? A INTEGRER
A01N00_NAR_LIV_00760	00760	LIVINGROOM	NARRATEUR_LETTRE 	A01N00	 Et si j’en appelle à toi, c’est bien par peur de ce qu’il se passera s’il n’y a pas quelqu’un de confiance pour superviser la décision… Je compte donc sur toi pour <b>éviter qu’une tragédie ait lieu dans ma demeure</b>. S’il arrive le moindre incident malheureux, je te destitue par la présente de la possibilité de faire un choix.	And if I call you, it is that I’m afraid something terrible will happen if no one I trust takes care of this business… I therefore count on you <b>to avoid any tragedy on the Manor’s grounds</b>. If there is any unfortunate accident, I withdraw my trust in you and your possibility to make a choice.	Affichage de narration différent ? A INTEGRER
A01N00_NAR_LIV_00770	00770	LIVINGROOM	NARRATEUR_LETTRE 	A01N00	 Enfin, si tu refuses ou que tu échoues, mais j’espère et je crois que tu ne m’abandonneras pas, le Manoir devra alors être partagé entre mes enfants. Ce n’est pas ce que je souhaite… Mais parfois la réalité prend nos rêves pour des caprices et ne les réalise pas.	Finally; if you refuse or fail, but I do hope and believe you will not disappoint me, the Manor will have to be shared between my children. I do not wish it, but sometimes reality takes our dreams for useless whims and do not make them come true.	Affichage de narration différent ? A INTEGRER
A01N00_NAR_LIV_00780	00780	LIVINGROOM	NARRATEUR_LETTRE 	A01N00	 Je compte sur toi,	I’m counting on you.	Affichage de narration différent ? A INTEGRER
A01N00_NAR_LIV_00790	00790	LIVINGROOM	NARRATEUR_LETTRE 	A01N00	 Célestia	Célestia	Affichage de narration différent ? A INTEGRER
A01N00_Kim_LIV_00800	00800	LIVINGROOM	Kim 	A01N00	 J’ai terminé.	I’m done.	A INTEGRER
A01N00_Abi_LIV_00810	00810	LIVINGROOM	Abigail 	A01N00	 Très bien.	Very well.	A INTEGRER
A01N00_Abi_LIV_00820	00820	LIVINGROOM	Abigail 	A01N00	 Il commence à se faire tard.	It’s getting late.	A INTEGRER
A01N00_Abi_LIV_00830	00830	LIVINGROOM	Abigail 	A01N00	 Demain, vous serez libre de vous <b>promener dans tout le Manoir</b>.	Tomorrow you will be free to <b>walk around the Manor</b>.	A INTEGRER
A01N00_Abi_LIV_00840	00840	LIVINGROOM	Abigail 	A01N00	 Mais pour ce soir, je vous propose de <b>discuter avec nous</b> pour apprendre à nous connaître un minimum.	As for tonight, you may already <b>speak with us</b> to learn to know us better.	A INTEGRER
A01N00_Abi_LIV_00850	00850	LIVINGROOM	Abigail 	A01N00	 Demain, vous pourrez faire votre choix. Je ne remets pas en doute la sagesse de ma mère, je suis persuadée que la réponse vous semblera évidente. Nous attendrons patiemment votre décision.	Tomorrow evening, you will have to choose. I will not question my mother’s wisdom, and I am sure the answer will seems crystal-clear to you. We will patiently wait for your decision.	A INTEGRER
