LINE	NUM	ROOM	CHAR	Acte	TEXT_FR	TEXT_EN	INTEGRATION DES METADONNEES
A01N02_Ern_CUI_01150	01150	CUISINE	Ernest 	A01N02	 Ce serait génial, mais nous n’en avons pas… Non, tu pourras simplement m’envoyer des sms, je mettrai mon portable sur mes genoux, et tu te cacheras dans la salle pour entendre la conversation.	That had be awesome, but we don’t have any. No, you could just send me some text messages. I’ll put my cellphone on my knees and you’ll hide in the room where we’ll be having our conversation.	Done
A01N02_Kim_CUI_01160	01160	CUISINE	Kim 	A01N02	 D’accord, je t’aiderai.	Alright, I’ll help you.	Done
A01N02_Ern_CUI_01170	01170	CUISINE	Ernest 	A01N02	 Super ! Fais-moi signe quand tu es prêt#e||•e#.	Awesome! Tell me when you’re ready.	Done
A01N02_Kim_CUI_01180	01180	CUISINE	Kim 	A01N02	 Je ne pense pas que ce soit une bonne idée.	I don’t think that’s a good idea.	Done
A01N02_Ern_CUI_01190	01190	CUISINE	Ernest 	A01N02	 Comment ça ?	What do you mean?	Done
A01N02_Kim_CUI_01200	01200	CUISINE	Kim 	A01N02	 Si tu l’aimais vraiment, tu t’intéresserais vraiment à ses goûts et tu n’aurais pas besoin de moi pour partager des choses avec elle. Tu veux commencer une relation en la dupant… Je ne veux pas participer à tes manœuvres.	If you really love her, you would have a real interest for her tastes and you wouldn’t need me to share things with her. You want to start a relationship with lies… I can’t participate in your maneuvers.	Done
A01N02_Ern_CUI_01210	01210	CUISINE	Ernest 	A01N02	 Mais qu’est-ce qu’il y a de mal à demander de l’aide à quelqu’un pour attirer la personne qu’on aime ?	What’s wrong with asking someone for help to date the one we love?	Done
A01N02_Kim_CUI_01220	01220	CUISINE	Kim 	A01N02	 Tu ne me demandes pas de t’aider en disant à Abigail que tu es quelqu’un de bien ou en me débrouillant pour que vous ayez l’occasion de passer du temps tous les deux, tu me demandes de t’aider à la tromper… C’est ça, la différence. Tu devrais réfléchir à ça.	You’re not asking me to help you by telling Abigail you’re a nice person or by finding a way for you two to spend time together, you’re asking me to help you deceive her… That’s the difference. You should think about it.	Done
A01N02_Ern_CUI_01230	01230	CUISINE	Ernest 	A01N02	 Très bien. Je vais « réfléchir », comme tu dis. Et ensuite, j’agirai, d’une façon ou d’une autre.	Right. I’ll “think about it”, as you say. And then, I’ll act, in a way or another.	Done
A01N02_Kim_CUI_01240	01240	CUISINE	Kim 	A01N02	 Ne pas en parler	Do not mention the text messages	Done
A01N02_Kim_CUI_01250	01250	CUISINE	Kim 	A01N02	 Oui, tout va bien. Reparlons plus tard.	Yes, everything’s fine. Let’s talk later.	Done
A01N02_NAR_CUI_01260	01260	CUISINE	NARRATEUR 	A01N02	 Tiens, Geoffroy ? Que fait-il à la fenêtre de la cuisine ? Je ne l’avais pas remarqué. S’était-il caché pour écouter ? Peut-être suis-je trop suspicieux, il pouvait aussi simplement arracher des mauvaises herbes… En tout cas, il a l’air très gêné.	Is that Geoffroy? What’s he doing by the kitchen’s window? I hadn’t noticed him. Did he hide to listen to us? Maybe I’m too suspicious, he was probably just taking away some weeds… He seems embarassed, in any case.	Done
A01N02_Kim_CUI_01270	01270	CUISINE	Kim 	A01N02	 Tout va bien, Geoffroy ?	Is everything allright, Geoffroy?	Done
A01N02_Geo_CUI_01280	01280	CUISINE	Geoffroy 	A01N02	 Pardonnez-moi mon indiscrétion, je n’ai pas pu m’empêcher de tout entendre, la fenêtre donne sur le jardin. 	Forgive me for my indiscretion, I couldn’t help but hear, the window is open on the garden.	Done
